May  3 00:35:14 shoichi newsyslog[8284]: logfile turned over
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 10:53:07.576 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 10:53:07.576 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 10:53:07.610 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 10:53:07.610 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:47:03.254 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 11:47:03.765 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 11:47:03.765 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3159531244, Ack: 3502929464, Win size: 2047
Fri May  3 11:47:03.765 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3159531244, Ack 3502929464, Win size 250
Fri May  3 11:47:03.765 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 11:47:03.765 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 11:47:03.765 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 11:47:03.765 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 11:47:08.382 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 11:47:08.382 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 11:47:08.382 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.79
Fri May  3 11:47:08.382 <kernel> wl0: setup_keepalive: Local port: 59830, Remote port: 5223
Fri May  3 11:47:08.382 <kernel> wl0: setup_keepalive: Seq: 3159531419, Ack: 3502929517, Win size: 2048
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 11:47:08.382 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 11:56:32.345 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 11:56:32.383 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 11:56:32.383 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 11:56:32.383 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 3159531419, Ack: 3502929517, Win size: 2048
Fri May  3 11:56:32.383 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 3159531419, Ack 3502929517, Win size 250
Fri May  3 11:56:32.383 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 11:56:32.383 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 11:56:32.383 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 11:56:32.404 <kernel> en0: link down event, informing supplicant.
Fri May  3 11:56:32.404 <kernel> AirPort_BrcmNIC::getSSIDData(): Get failure: APPLE80211_IOC_SSID: 6
Fri May  3 11:56:32.404 <kernel> ARPT: Wake Reason: Wake on Scan offload
Fri May  3 11:56:32.404 <kernel> ARPT: Wake Reason: Wake on Scan offload
Fri May  3 11:56:32.404 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 11:56:33.231 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:56:33.231 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:56:43.067 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 11:56:43.778 <kernel> en0: Terminating supplicant.
Fri May  3 11:56:43.778 <kernel> RSNSupplicant: Releasing authenticator for 86:af:ec:57:28:50
Fri May  3 11:56:43.778 <kernel> parseRSNIE: groupCipherType = 5 pairwiseCipherType = 5 authSel = 2
Fri May  3 11:56:43.778 <kernel> initWithInterfaceAndIE: _myMacAddress 18:65:90:d0:5a:99
Fri May  3 11:56:43.778 <kernel> setPMK: PMK SET!
Fri May  3 11:56:43.924 <kernel> Unexpected payload found for message 9, dataLen 0
Fri May  3 11:56:44.018 <kernel> en0: Received EAPOL packet (length = 113)
Fri May  3 11:56:44.019 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 11:56:44.019 <kernel> inputEAPOLFrame: Received message 1 of 4
Fri May  3 11:56:44.019 <kernel> FULL RSN IE FOUND:
Fri May  3 11:56:44.019 [00000000] 30 14 01 00 00 0F AC 04 01 00 00 0F AC 04 01 00 00 0F AC 02 00 00 
Fri May  3 11:56:44.019 <kernel> storeFullRSNIE: getAP_IE_LIST returned 0
Fri May  3 11:56:44.019 <kernel> PMK:
Fri May  3 11:56:44.019 [00000000] E0 FF 05 30 3B A5 D6 F3 7E 16 19 F2 A6 15 E3 1A 69 3C 6B 37 6B 99 82 49 DB AB 7E 0E B2 44 
Fri May  3 11:56:44.019 [0000001E] CB EA 
Fri May  3 11:56:44.019 <kernel> TPTK:
Fri May  3 11:56:44.019 [00000000] 08 6E 79 99 47 6D 8B 9C 5B CE 6A 7D 8C 6C 7A DE 8F 29 7F F5 08 94 85 B2 12 90 61 24 3B E6 
Fri May  3 11:56:44.019 [0000001E] 5F 99 DE 64 DE 8A BB 71 BC F0 30 74 CA 79 D8 42 36 AC 00 00 00 00 00 00 00 00 00 00 00 00 
Fri May  3 11:56:44.019 [0000003C] 00 00 00 00 
Fri May  3 11:56:44.019 <kernel> KEY MIC:
Fri May  3 11:56:44.019 [00000000] D3 AA 2B BC 1A 60 E7 3C F9 EC 3E 1C CC 65 BB E7 
Fri May  3 11:56:44.019 <kernel> process1of4: sending replyPacket 135 bytes
Fri May  3 11:56:44.030 <kernel> en0: Received EAPOL packet (length = 169)
Fri May  3 11:56:44.030 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 11:56:44.030 <kernel> inputEAPOLFrame: decrypting key data
Fri May  3 11:56:44.030 <kernel> inputEAPOLFrame: Received message 3 of 4
Fri May  3 11:56:44.030 <kernel> process3of4: Performing IE check.
Fri May  3 11:56:44.030 <kernel> process3of4: sending replyPacket ( len = 113 ).
Fri May  3 11:56:44.030 <kernel> process3of4: received pairwise GTK
Fri May  3 11:56:44.039 <kernel> PTK Install Timer: Installing PTK
Fri May  3 11:56:44.039 <kernel> PTK:
Fri May  3 11:56:44.039 [00000000] DE 64 DE 8A BB 71 BC F0 30 74 CA 79 D8 42 36 AC 
Fri May  3 11:56:44.039 <kernel> PTK Install Timer: Installing GTK
Fri May  3 11:56:44.039 <kernel> installGTK: setting cipher key (flags = 0x0)
Fri May  3 11:56:44.039 <kernel> GTK-RSC:
Fri May  3 11:56:44.039 [00000000] BF 87 33 00 00 00 
Fri May  3 11:56:44.039 <kernel> GTK:
Fri May  3 11:56:44.039 [00000000] E0 49 8B A2 47 F6 81 7A F8 8A 36 A3 D8 68 59 C8 
Fri May  3 11:56:44.039 <kernel> installGTK: GTK installed
Fri May  3 11:56:44.190 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 11:56:45.505 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:56:45.609 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:56:54.973 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:56:55.295 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 11:57:04.240 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 11:57:04.564 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 11:57:04.564 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.213
Fri May  3 11:57:04.564 <kernel> wl0: setup_keepalive: Local port: 59999, Remote port: 5223
Fri May  3 11:57:04.564 <kernel> wl0: setup_keepalive: Seq: 1013350176, Ack: 3926835243, Win size: 2048
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 11:57:04.564 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 12:50:54.306 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 12:50:54.671 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 12:50:54.716 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1013350176, Ack: 3926835243, Win size: 2048
Fri May  3 12:50:54.716 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1013350176, Ack 3926835243, Win size 250
Fri May  3 12:50:54.716 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 12:50:54.716 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 12:50:54.716 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 12:50:54.716 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 12:51:00.691 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 12:51:00.691 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 12:51:00.691 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.213
Fri May  3 12:51:00.691 <kernel> wl0: setup_keepalive: Local port: 59999, Remote port: 5223
Fri May  3 12:51:00.691 <kernel> wl0: setup_keepalive: Seq: 1013350351, Ack: 3926835296, Win size: 2048
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 12:51:00.691 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 12:56:18.349 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 12:56:18.495 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 12:56:18.495 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1013350351, Ack: 3926835296, Win size: 2048
Fri May  3 12:56:18.495 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1013350351, Ack 3926835296, Win size 250
Fri May  3 12:56:18.495 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 12:56:18.495 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 12:56:18.495 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 12:56:18.546 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 12:56:23.873 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 12:56:23.873 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 12:56:23.873 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.213
Fri May  3 12:56:23.873 <kernel> wl0: setup_keepalive: Local port: 59999, Remote port: 5223
Fri May  3 12:56:23.873 <kernel> wl0: setup_keepalive: Seq: 1013350526, Ack: 3926835349, Win size: 2048
Fri May  3 12:56:23.873 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 12:56:23.873 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 12:56:23.874 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 12:56:23.874 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 12:56:23.874 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 12:56:23.874 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 12:57:46.327 <kernel> en0: Received EAPOL packet (length = 145)
Fri May  3 12:57:47.003 <kernel> inputEAPOLFrame: 0 extra bytes present in EAPOL frame.
Fri May  3 12:57:47.003 <kernel> inputEAPOLFrame: decrypting key data
Fri May  3 12:57:47.003 <kernel> inputEAPOLFrame: Received message 1 of 2
Fri May  3 12:57:47.003 <kernel> installGTK: setting cipher key (flags = 0x0)
Fri May  3 12:57:47.003 <kernel> GTK-RSC:
Fri May  3 12:57:47.003 [00000000] 83 95 33 00 00 00 
Fri May  3 12:57:47.003 <kernel> GTK:
Fri May  3 12:57:47.003 [00000000] 67 8F 82 A9 62 01 AE 64 EF 09 63 13 6C F8 63 76 
Fri May  3 12:57:47.003 <kernel> installGTK: GTK installed
Fri May  3 12:57:47.004 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 12:57:47.004 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 12:57:47.004 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1013350526, Ack: 3926835349, Win size: 2048
Fri May  3 12:57:47.004 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1013350526, Ack 3926835349, Win size 250
Fri May  3 12:57:47.004 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 12:57:47.004 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 12:57:47.004 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 12:57:47.004 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 12:57:51.976 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 12:57:51.976 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 12:57:51.976 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.213
Fri May  3 12:57:52.323 <kernel> wl0: setup_keepalive: Local port: 59999, Remote port: 5223
Fri May  3 12:57:52.323 <kernel> wl0: setup_keepalive: Seq: 1013350701, Ack: 3926835402, Win size: 2048
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 12:57:52.323 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 14:57:59.380 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 14:57:59.381 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 14:57:59.403 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1013350701, Ack: 3926835402, Win size: 2048
Fri May  3 14:57:59.403 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1013350701, Ack 3926835402, Win size 250
Fri May  3 14:57:59.403 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 14:57:59.403 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 14:57:59.403 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 14:57:59.403 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 14:58:04.717 <kernel> wl0: TCPKEEP: locate_keepalive_data_new_uc: No IPV4 addrs, keepalive not started.
Fri May  3 14:58:04.718 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 14:58:04.718 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 14:58:04.718 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 14:58:04.718 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 14:58:04.718 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 14:58:06.974 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 14:58:06.974 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 15:30:03.279 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 15:30:03.308 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 15:30:03.338 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 15:30:03.339 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 15:30:03.339 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 15:30:03.466 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 15:30:04.605 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 15:30:09.280 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 15:30:09.281 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 15:30:09.281 <kernel> wl0: setup_keepalive: Remote IP: 17.252.141.4
Fri May  3 15:30:09.281 <kernel> wl0: setup_keepalive: Local port: 60257, Remote port: 5223
Fri May  3 15:30:09.281 <kernel> wl0: setup_keepalive: Seq: 1847968912, Ack: 4192637775, Win size: 2048
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 15:30:09.281 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 16:24:06.034 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 16:24:06.034 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 16:24:07.008 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1847968912, Ack: 4192637775, Win size: 2048
Fri May  3 16:24:07.008 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1847968912, Ack 4192637775, Win size 250
Fri May  3 16:24:07.008 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 16:24:07.008 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 16:24:07.008 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 16:24:15.437 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 16:24:32.888 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 16:24:32.926 <kernel> Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0
Fri May  3 16:24:43.634 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 16:24:43.634 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 16:24:43.634 <kernel> wl0: setup_keepalive: Remote IP: 17.252.141.4
Fri May  3 16:24:43.634 <kernel> wl0: setup_keepalive: Local port: 60257, Remote port: 5223
Fri May  3 16:24:43.634 <kernel> wl0: setup_keepalive: Seq: 1847969087, Ack: 4192637828, Win size: 2048
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 16:24:43.634 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 16:29:33.050 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 16:29:33.050 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 16:29:33.050 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1847969087, Ack: 4192637828, Win size: 2048
Fri May  3 16:29:33.050 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1847969087, Ack 4192637828, Win size 250
Fri May  3 16:29:33.050 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 16:29:33.050 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 16:29:33.050 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 16:29:33.513 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 16:29:38.364 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 16:29:38.377 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 16:29:38.377 <kernel> wl0: setup_keepalive: Remote IP: 17.252.141.4
Fri May  3 16:29:38.377 <kernel> wl0: setup_keepalive: Local port: 60257, Remote port: 5223
Fri May  3 16:29:38.377 <kernel> wl0: setup_keepalive: Seq: 1847969262, Ack: 4192637881, Win size: 2047
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 16:29:38.377 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 16:30:43.047 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 16:30:43.047 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 16:30:43.047 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 1847969262, Ack: 4192637881, Win size: 2047
Fri May  3 16:30:43.047 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1847969262, Ack 4192637881, Win size 250
Fri May  3 16:30:43.047 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 16:30:43.047 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 16:30:43.047 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 16:30:43.519 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 16:30:55.820 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 16:30:55.820 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 16:30:55.820 <kernel> wl0: setup_keepalive: Remote IP: 17.252.141.4
Fri May  3 16:30:55.820 <kernel> wl0: setup_keepalive: Local port: 60257, Remote port: 5223
Fri May  3 16:30:55.820 <kernel> wl0: setup_keepalive: Seq: 1847969437, Ack: 4192637934, Win size: 2048
Fri May  3 16:30:55.821 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
Fri May  3 16:30:55.821 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 16:30:55.821 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 16:30:55.821 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:9ced:4a93:b79b:1b3f
Fri May  3 16:30:55.821 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
